,Number of sequences,Sum of pairs,Circular sum
1,2,-1664.0,-3328.0
10,16,-21424.0,1022.0
100,2,-74.0,-148.0
104,21,16704.0,4553.0
104s10,5,3264.0,1616.0
104s13,4,1888.0,1275.0
104s14,6,4686.0,1935.0
104s16,5,2707.0,1425.0
104s6,3,1432.0,1432.0
104s7,4,2309.0,1546.0
104s8,3,1133.0,1133.0
104t17,16,19009.0,3698.0
104t18,5,3385.0,1848.0
106,3,-4104.0,-4104.0
106t0,2,565.0,1130.0
108,3,1099.0,1099.0
108t0,2,1219.0,2438.0
10s10,9,13134.0,3326.0
10s3,4,4511.0,3086.0
10s4,2,549.0,1098.0
10s7,2,506.0,1012.0
10s8,3,1134.0,1134.0
10t10,4,1332.0,995.0
10t11,6,875.0,892.0
10t13,15,5492.0,3199.0
10t5,2,576.0,1152.0
10t8,5,7049.0,3652.0
10t9,4,2206.0,1769.0
112,3,914.0,914.0
112t0,2,693.0,1386.0
113,4,317.0,641.0
113t1,2,482.0,964.0
115,4,-1408.0,-116.0
115t0,2,565.0,1130.0
115t1,2,731.0,1462.0
116,5,-262.0,36.0
116t2,2,-170.0,-340.0
117,2,-18.0,-36.0
118,4,1277.0,906.0
118s0,2,330.0,660.0
118s1,3,793.0,793.0
119,3,1326.0,1326.0
12,122,-1628803.0,28650.0
120,4,925.0,568.0
120s1,3,553.0,553.0
121,4,-6177.0,-2805.0
121t0,2,1124.0,2248.0
123,5,-10095.0,-4520.0
123s2,3,-3114.0,-3114.0
123t2,3,-967.0,-967.0
126,3,-942.0,-942.0
126t0,2,1518.0,3036.0
127,3,418.0,418.0
12s103,19,76078.0,9469.0
12s106,9,15980.0,4513.0
12s107,50,514662.0,26817.0
12s108,26,149479.0,14413.0
12s112,54,513450.0,26181.0
12s114,2,-11.0,-22.0
12s115,2,20.0,40.0
12s117,115,59988.0,42411.0
12s19,3,1968.0,1968.0
12s25,2,615.0,1230.0
12s4,2,773.0,1546.0
12s45,13,52451.0,8828.0
12s49,5,6652.0,3400.0
12s55,7,11791.0,3983.0
12s57,3,1864.0,1864.0
12s58,4,3453.0,2350.0
12s59,6,8077.0,3187.0
12s61,2,615.0,1230.0
12s64,4,3734.0,2489.0
12s65,2,617.0,1234.0
12s69,2,591.0,1182.0
12s70,3,1826.0,1826.0
12s71,4,3439.0,2320.0
12s74,7,12234.0,4077.0
12s76,2,573.0,1146.0
12s77,11,30192.0,6438.0
12s79,2,471.0,942.0
12s80,4,3007.0,1993.0
12s81,4,3276.0,2213.0
12s82,5,5336.0,2773.0
12s83,6,8317.0,3535.0
12s84,4,2934.0,1990.0
12t107,6,6479.0,2630.0
12t108,38,258535.0,18009.0
12t109,53,545863.0,27667.0
12t110,16,54869.0,7981.0
12t113,59,589809.0,29222.0
12t114,2,-21.0,-42.0
12t115,2,26.0,52.0
12t116,56,408569.0,22039.0
12t117,115,80095.0,45150.0
12t118,4,-934.0,-654.0
12t119,119,23107.0,38104.0
13,2,-309.0,-618.0
130,6,940.0,668.0
130s0,2,438.0,876.0
130s1,2,264.0,528.0
130t2,3,762.0,762.0
130t3,3,425.0,425.0
132,4,1722.0,1392.0
132s0,2,900.0,1800.0
132t1,3,1563.0,1563.0
133,4,-1159.0,-475.0
133t1,3,845.0,845.0
134,7,2043.0,1218.0
134s0,2,702.0,1404.0
134s1,2,526.0,1052.0
134s4,6,2816.0,1171.0
134t2,3,1312.0,1312.0
134t3,3,959.0,959.0
134t4,4,446.0,503.0
135,2,41.0,82.0
136,35,-104565.0,3197.0
136s14,5,7803.0,3927.0
136s15,2,612.0,1224.0
136s16,10,36123.0,8334.0
136s18,2,662.0,1324.0
136s19,5,6708.0,3360.0
136s20,6,10123.0,4055.0
136s22,11,26852.0,6712.0
136s23,2,160.0,320.0
136s24,2,186.0,372.0
136s25,2,102.0,204.0
136s31,27,59748.0,13328.0
136s32,8,-5035.0,-1165.0
136s8,4,4776.0,3184.0
136t15,3,1518.0,1518.0
136t21,11,39465.0,8408.0
136t22,2,-34.0,-68.0
136t24,3,301.0,301.0
136t25,12,24573.0,6160.0
136t27,6,-246.0,57.0
136t29,23,78066.0,13608.0
136t30,5,2421.0,1618.0
137,7,14224.0,5114.0
137s3,5,9517.0,4932.0
